contract_type,delivery_label,delivery_start,delivery_end,settlement_price_eur_mwh,trading_day,source,gross_open_interest_lots
M,Jul-26,2026-07-01,2026-07-31,102.45,2026-06-04,EEX Danish DK1 Power Base Month Future,3
M,Aug-26,2026-08-01,2026-08-31,98.03,2026-06-04,EEX Danish DK1 Power Base Month Future,0
M,Sep-26,2026-09-01,2026-09-30,104.27,2026-06-04,EEX Danish DK1 Power Base Month Future,0
M,Oct-26,2026-10-01,2026-10-31,97.75,2026-06-04,EEX Danish DK1 Power Base Month Future,0
M,Nov-26,2026-11-01,2026-11-30,114.79,2026-06-04,EEX Danish DK1 Power Base Month Future,0
M,Dec-26,2026-12-01,2026-12-31,119.54,2026-06-04,EEX Danish DK1 Power Base Month Future,0
Q,Q3-26,2026-07-01,2026-09-30,101.55,2026-06-04,EEX Danish DK1 Power Base Quarter Future,74
Q,Q4-26,2026-10-01,2026-12-31,110.64,2026-06-04,EEX Danish DK1 Power Base Quarter Future,91
Q,Q1-27,2027-01-01,2027-03-31,102.54,2026-06-04,EEX Danish DK1 Power Base Quarter Future,9
Q,Q2-27,2027-04-01,2027-06-30,77.73,2026-06-04,EEX Danish DK1 Power Base Quarter Future,1
Q,Q3-27,2027-07-01,2027-09-30,81.98,2026-06-04,EEX Danish DK1 Power Base Quarter Future,0
Q,Q4-27,2027-10-01,2027-12-31,86.89,2026-06-04,EEX Danish DK1 Power Base Quarter Future,0
Q,Q1-28,2028-01-01,2028-03-31,73.66,2026-06-04,EEX Danish DK1 Power Base Quarter Future,0
Y,Cal-27,2027-01-01,2027-12-31,87.23,2026-06-04,EEX Danish DK1 Power Base Year Future,135
Y,Cal-28,2028-01-01,2028-12-31,76.09,2026-06-04,EEX Danish DK1 Power Base Year Future,12
Y,Cal-29,2029-01-01,2029-12-31,73.08,2026-06-04,EEX Danish DK1 Power Base Year Future,5
Y,Cal-30,2030-01-01,2030-12-31,69.57,2026-06-04,EEX Danish DK1 Power Base Year Future,2
Y,Cal-31,2031-01-01,2031-12-31,70.64,2026-06-04,EEX Danish DK1 Power Base Year Future,2
